EPS Change (%),PE Change (%),EPS Value,PE Value,Implied Price,Implied Return,Scenario
-20%,-20%,249.60000000000002,18.048,4504.7807999999995,-0.36,What-if
-20%,-10%,249.60000000000002,20.304,5067.8784000000005,-0.2799999999999999,What-if
-20%,0%,249.60000000000002,22.56,5630.976000000001,-0.19999999999999984,What-if
-20%,10%,249.60000000000002,24.816,6194.073600000001,-0.11999999999999988,What-if
-20%,20%,249.60000000000002,27.072,6757.171200000001,-0.039999999999999813,What-if
-10%,-20%,280.8,18.048,5067.8784,-0.28,What-if
-10%,-10%,280.8,20.304,5701.3632,-0.18999999999999995,What-if
-10%,0%,280.8,22.56,6334.848,-0.09999999999999998,What-if
-10%,10%,280.8,24.816,6968.3328,-0.009999999999999898,What-if
-10%,20%,280.8,27.072,7601.8176,0.08000000000000007,What-if
0%,-20%,312.0,18.048,5630.976,-0.19999999999999996,What-if
0%,-10%,312.0,20.304,6334.848,-0.09999999999999998,What-if
0%,0%,312.0,22.56,7038.719999999999,0.0,Current
0%,10%,312.0,24.816,7742.592,0.10000000000000009,What-if
0%,20%,312.0,27.072,8446.464,0.20000000000000018,What-if
10%,-20%,343.20000000000005,18.048,6194.073600000001,-0.11999999999999988,What-if
10%,-10%,343.20000000000005,20.304,6968.3328,-0.009999999999999898,What-if
10%,0%,343.20000000000005,22.56,7742.592000000001,0.10000000000000009,What-if
10%,10%,343.20000000000005,24.816,8516.851200000001,0.2100000000000002,What-if
10%,20%,343.20000000000005,27.072,9291.110400000001,0.3200000000000003,What-if
20%,-20%,374.4,18.048,6757.171199999999,-0.040000000000000036,What-if
20%,-10%,374.4,20.304,7601.817599999999,0.08000000000000007,What-if
20%,0%,374.4,22.56,8446.463999999998,0.19999999999999996,What-if
20%,10%,374.4,24.816,9291.1104,0.32000000000000006,What-if
20%,20%,374.4,27.072,10135.7568,0.43999999999999995,What-if
